S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,10% Himalayan Bank Debenture 2083,1,1050.00,1050.00,1050.00,25.00,26250.00,1050.00,0.00
2,10% Nepal SBI Bank Debenture 2086,2,1050.00,1050.00,1050.00,75.00,78750.00,1055.00,-5.00
3,10% Prabhu Bank Debenture 2084,1,1046.00,1046.00,1046.00,25.00,26150.00,1051.00,-5.00
4,10% Sanima Bank Limited Debenture,2,1045.00,1045.00,1045.00,75.00,78375.00,1050.00,-5.00
5,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,1,1050.00,1050.00,1050.00,400.00,420000.00,1056.00,-6.00
6,11% NIC Asia Debenture 082/83,1,1128.00,1128.00,1128.00,50.00,56400.00,1128.00,0.00
7,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,235,1620.00,1581.00,1617.00,11080.00,17782935.00,1575.00,42.00
8,Agricultural Development Bank Limited,335,439.00,434.00,437.00,42989.00,18729618.00,437.00,0.00
9,Ajod Insurance Limited,916,870.00,808.00,845.00,46324.00,39319424.00,877.00,-32.00
10,Ankhu Khola Jalvidhyut Company Ltd,139,164.00,155.00,155.00,9744.00,1524314.00,157.00,-2.00
11,Api Power Company Ltd.,554,333.00,327.00,329.00,116381.00,38382346.00,330.00,-1.00
12,Arun Kabeli Power Ltd.,358,339.00,330.00,330.00,93862.00,31185112.00,333.00,-3.00
13,Arun Valley Hydropower Development Co. Ltd.,360,270.00,262.00,264.00,57217.00,15143775.00,267.00,-3.00
14,Asha Laghubitta Bittiya Sanstha Ltd,354,1765.00,1670.00,1765.00,17975.00,31131519.00,1683.00,82.00
15,Asian Life Insurance Co. Limited,161,1288.00,1271.00,1279.00,23472.00,29944542.00,1281.00,-2.00
16,Bank of Kathmandu Ltd.,428,315.00,309.00,313.00,206441.00,64660042.00,310.00,3.00
17,Barun Hydropower Co. Ltd.,107,249.00,243.00,245.00,13340.00,3279328.00,246.00,-1.00
18,Best Finance Company Ltd.,276,175.00,159.00,171.00,53478.00,9166050.00,167.00,4.00
19,Bottlers Nepal (Terai) Limited,18,9650.00,8836.00,9300.00,362.00,3433560.00,9300.00,0.00
20,Butwal Power Company Limited,302,431.00,420.00,422.00,73559.00,31140346.00,432.00,-10.00
21,Central Finance Co. Ltd.,458,234.00,211.00,230.00,110030.00,24638924.00,213.00,17.00
22,Century Commercial Bank Ltd.,586,256.00,245.00,254.00,236154.00,59882275.00,256.00,-2.00
23,Chandragiri Hills Limited,2674,2800.00,2500.00,2625.00,84315.00,224411844.00,2578.00,47.00
24,Chhimek Laghubitta Bittiya Sanstha Limited,632,1747.00,1726.00,1730.00,50573.00,87775416.00,1722.00,8.00
25,Chhyangdi Hydropower Ltd.,107,236.00,220.00,223.00,16608.00,3719111.00,228.00,-5.00
26,Chilime Hydropower Company Limited,652,700.00,664.00,670.00,114625.00,77481963.00,681.00,-11.00
