S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
58,Joshi Hydropower Development Company Ltd,15,62.00,62.00,62.00,290.00,17980.00,63.00,-1.00
59,Jyoti Bikas Bank Limited,121,197.00,190.00,191.00,59969.00,11530730.00,199.00,-8.00
60,Kalika power Company Ltd,34,91.00,90.00,90.00,340.00,30610.00,90.00,0.00
61,Kamana Sewa Bikas Bank Limited,42,164.00,161.00,162.00,11445.00,1857557.00,162.00,0.00
62,Kanchan Development Bank Limited,30,280.00,265.00,274.00,13886.00,3828668.00,270.00,4.00
63,Karnali Development Bank Limited,83,130.00,114.00,117.00,25525.00,3000010.00,119.00,-2.00
64,Khanikhola Hydropower Co. Ltd.,7,59.00,59.00,59.00,119.00,7021.00,59.00,0.00
65,Kumari Bank Limited,119,200.00,197.00,197.00,43764.00,8681338.00,200.00,-3.00
66,Laxmi Bank Limited,63,229.00,224.00,227.00,15161.00,3420176.00,229.00,-2.00
67,Laxmi Equity Fund,4,8.21,8.05,8.05,10100.00,81961.00,8.05,0.00
68,Laxmi Laghubitta Bittiya Sanstha Ltd.,35,1067.00,1026.00,1026.00,2850.00,2973524.00,1061.00,-35.00
69,Laxmi Value Fund-1,8,9.60,9.36,9.60,33030.00,314381.40,9.42,0.18
70,Life Insurance Corporation (Nepal) Limited,41,1234.00,1216.00,1216.00,8626.00,10573571.00,1231.00,-15.00
71,Lumbini Bikas Bank Ltd.,75,201.00,195.00,197.00,18490.00,3650327.00,197.00,0.00
72,Lumbini General Insurance Co. Ltd.,83,500.00,488.00,491.00,14333.00,7071925.00,504.00,-13.00
73,Machhapuchhre Bank Limited,60,236.00,233.00,233.00,16068.00,3769733.00,236.00,-3.00
74,Mahalaxmi Bikas Bank Ltd.,122,221.00,211.00,213.00,53662.00,11600265.00,211.00,2.00
75,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,29,753.00,741.00,753.00,1682.00,1253571.00,758.00,-5.00
76,Manjushree Finance Ltd.,19,196.00,193.00,195.00,5708.00,1107954.00,198.00,-3.00
77,Mega  Bank Nepal Ltd.,147,207.00,205.00,206.00,38652.00,7960004.00,207.00,-1.00
78,Mero Microfinance Bittiya Sanstha Ltd.,110,665.00,651.00,654.00,11491.00,7578476.00,660.00,-6.00
79,Miteri Development Bank Limited,119,350.00,339.00,342.00,26587.00,9086304.00,338.00,4.00
80,Mithila LaghuBitta Bittiya Sanstha Limited,21,801.00,777.00,777.00,1394.00,1104664.00,808.00,-31.00
81,Mountain Hydro Nepal Limited,19,95.00,93.00,93.00,610.00,57450.00,93.00,0.00
82,Muktinath Bikas Bank Ltd.,94,337.00,311.00,321.00,16621.00,5370684.00,327.00,-6.00
83,Multipurpose Finance Company  Limited,6,144.00,142.00,142.00,1450.00,206600.00,140.00,2.00
84,Nabil Bank Limited,119,740.00,726.00,726.00,15362.00,11219692.00,734.00,-8.00
85,Nabil Equity Fund,4,8.16,8.13,8.16,2865.00,23355.57,8.20,-0.04
86,Nadep Laghubittiya bittya Sanstha Ltd.,119,723.00,699.00,700.00,8509.00,5992652.00,711.00,-11.00
87,National Hydro Power Company Limited,48,62.00,56.00,58.00,17300.00,1002730.00,60.00,-2.00
88,National Life Insurance Co. Ltd.,89,667.00,650.00,654.00,21250.00,13956527.00,652.00,2.00
89,National Microfinance Laghubitta Bittiya Sanstha Limited,16,1585.00,1571.00,1571.00,946.00,1488577.00,1582.00,-11.00
90,Neco Insurance Limited,201,570.00,552.00,558.00,51237.00,28638601.00,564.00,-6.00
91,Nepal Bangladesh Bank Limited,91,211.00,208.00,209.00,29654.00,6204732.00,208.00,1.00
92,Nepal Bank Limited,131,274.00,268.00,270.00,49567.00,13384455.00,270.00,0.00
93,Nepal Credit And Commercial Bank Limited,103,199.00,195.00,196.00,24723.00,4850049.00,198.00,-2.00
94,Nepal Doorsanchar Company Limited,28,630.00,620.00,624.00,5525.00,3439590.00,626.00,-2.00
95,Nepal Finance Ltd.,20,154.00,142.00,142.00,2400.00,341260.00,157.00,-15.00
96,Nepal Hydro Developers Ltd.,15,125.00,123.00,124.00,260.00,32240.00,125.00,-1.00
97,Nepal Insurance Co. Ltd.,201,449.00,434.00,440.00,72946.00,31966000.00,447.00,-7.00
98,Nepal Investment Bank Limited,111,396.00,393.00,395.00,13059.00,5153110.00,395.00,0.00
99,Nepal Investment Bank Ltd. Promoter Share,98,355.00,350.00,353.00,35491.00,12472887.00,355.00,-2.00
100,Nepal Life Insurance Co. Ltd.,313,1132.00,1118.00,1125.00,34281.00,38506318.00,1118.00,7.00
101,Nepal SBI Bank Limited,22,425.00,414.00,414.00,2720.00,1134170.00,421.00,-7.00
102,Nerude Laghubitta Bittiya Sanstha Limited,26,784.00,753.00,765.00,2711.00,2061716.00,770.00,-5.00
103,Ngadi Group Power Ltd.,20,119.00,116.00,117.00,3338.00,393455.00,118.00,-1.00
104,NIBL Pragati Fund,6,7.95,7.69,7.69,13942.00,107575.11,7.82,-0.13
105,NIBL Samriddhi Fund 1,4,9.31,9.26,9.31,7867.00,73141.77,9.33,-0.02
106,NIC Asia Balanced Fund,4,9.00,8.92,8.93,1200.00,10750.50,9.05,-0.12
107,NIC Asia Bank Ltd.,232,485.00,479.00,481.00,66736.00,32138168.00,482.00,-1.00
108,NIC Asia Growth Fund,1,9.32,9.32,9.32,120.00,1118.40,9.40,-0.08
109,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,51,989.00,954.00,962.00,5603.00,5364559.00,973.00,-11.00
110,NLG Insurance Company Ltd.,88,878.00,868.00,869.00,8375.00,7295598.00,878.00,-9.00
111,NMB  Microfinance Bittiya Sanstha Ltd.,20,893.00,882.00,889.00,1394.00,1235962.00,900.00,-11.00
112,NMB Bank Limited,136,369.00,365.00,366.00,26157.00,9611294.00,367.00,-1.00
113,Oriental Hotels Limited,13,518.00,509.00,514.00,2119.00,1081220.00,519.00,-5.00
114,Panchakanya Mai Hydropower Ltd,41,88.00,87.00,87.00,410.00,35900.00,88.00,-1.00
115,Panchthar Power Compant Limited,34,126.00,121.00,126.00,670.00,82560.00,124.00,2.00
116,Pokhara Finance Ltd.,18,160.00,158.00,159.00,1990.00,315653.00,160.00,-1.00
117,Prabhu  Bank Limited,465,249.00,245.00,245.00,135140.00,33304409.00,250.00,-5.00
118,Prabhu Insurance Ltd.,112,455.00,437.00,441.00,18758.00,8293348.00,453.00,-12.00
119,Premier Insurance Company (Nepal) Limited,115,575.00,556.00,559.00,13654.00,7711420.00,572.00,-13.00
120,Prime Commercial Bank Ltd.,141,284.00,277.00,277.00,41046.00,11478870.00,282.00,-5.00
121,Prime Life Insurance Company Limited,238,583.00,566.00,573.00,57306.00,32911074.00,566.00,7.00
122,Progressive Finance Limited,34,115.00,109.00,112.00,9110.00,1007790.00,107.00,5.00
123,Prudential Insurance Co. Ltd.,191,763.00,722.00,730.00,23988.00,17598123.00,749.00,-19.00
124,Radhi Bidyut Company Ltd,39,151.00,146.00,149.00,447.00,66206.00,149.00,0.00
125,Rairang Hydropower Development Company Ltd.,29,101.00,100.00,100.00,290.00,29030.00,101.00,-1.00
126,Rastriya Beema Company Limited,15,9100.00,8931.00,8990.00,325.00,2913300.00,9093.00,-103.00
127,Rastriya Beema Company Limited Promoter Share,20,8607.00,8356.00,8360.00,342.00,2882680.00,8439.00,-79.00
128,RASUWAGADHI HYDROPOWER COMPANY LIMITED,192,171.00,167.00,167.00,27888.00,4703542.00,169.00,-2.00
129,Reliance Finance Ltd.,31,148.00,142.00,144.00,9258.00,1329857.00,148.00,-4.00
130,Ridi Hydropower Development Company Ltd.,17,81.00,76.00,77.00,3055.00,237988.00,80.00,-3.00
131,RMDC Laghubitta Bittiya Sanstha Ltd.,45,689.00,664.00,670.00,9682.00,6531755.00,678.00,-8.00
132,RSDC Laghubitta Bittiya Sanstha Ltd.,85,484.00,467.00,478.00,8343.00,3948426.00,477.00,1.00
133,SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,66,890.00,864.00,882.00,5022.00,4424028.00,880.00,2.00
134,Sagarmatha Insurance Co. Ltd.,39,755.00,740.00,740.00,8383.00,6226409.00,741.00,-1.00
135,Salt Trading Corporation,62,2584.00,2465.00,2472.00,3050.00,7694455.00,2465.00,7.00
136,Samata Gharelu Laghubitta Bittiya Sanstha Limited,66,775.00,734.00,740.00,4763.00,3547739.00,760.00,-20.00
137,Samriddhi Finance Company Limited,31,110.00,100.00,110.00,8548.00,928728.00,100.00,10.00
138,Samudayik Laghubitta Bittiya Sanstha Limited,35,850.00,820.00,829.00,1920.00,1588048.00,839.00,-10.00
139,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,36,993.00,961.00,971.00,6075.00,5893494.00,975.00,-4.00
140,Sanima Bank Limited,149,348.00,342.00,346.00,27650.00,9582578.00,348.00,-2.00
141,Sanima Equity Fund,5,9.28,9.24,9.25,4100.00,38014.00,9.31,-0.06
142,Sanima Mai Hydropower Ltd.,71,219.00,210.00,214.00,20721.00,4376557.00,215.00,-1.00
143,SANJEN JALAVIDHYUT COMPANY LIMITED,164,161.00,157.00,159.00,5660.00,899310.00,159.00,0.00
144,Saptakoshi Development Bank Ltd,30,150.00,142.00,143.00,4653.00,673172.00,144.00,-1.00
145,Shangrila Development Bank Ltd.,23,163.00,159.00,160.00,5780.00,926574.00,163.00,-3.00
146,Shikhar Insurance Co. Ltd.,59,1164.00,1137.00,1149.00,7739.00,8844018.00,1148.00,1.00
147,Shine Resunga Development Bank Ltd.,188,289.00,276.00,280.00,66678.00,18747511.00,279.00,1.00
148,SHIVAM CEMENTS LTD,122,522.00,510.00,512.00,16925.00,8702985.00,514.00,-2.00
149,Shree Investment Finance Co. Ltd.,15,170.00,167.00,167.00,7972.00,1343674.00,170.00,-3.00
150,Siddhartha Bank Limited,89,315.00,312.00,314.00,14222.00,4456700.00,315.00,-1.00
151,Siddhartha Equity Fund,9,9.36,9.30,9.35,23000.00,214630.00,9.33,0.02
152,Siddhartha Insurance Ltd.,112,604.00,578.00,585.00,27809.00,16328271.00,598.00,-13.00
153,Sindhu Bikash Bank Ltd,16,137.00,134.00,136.00,4589.00,620071.00,137.00,-1.00
154,Soaltee Hotel Limited,49,209.00,200.00,201.00,16626.00,3339794.00,204.00,-3.00
155,Sparsha Laghubitta Bittiya Sanstha Limited,48,872.00,810.00,832.00,4785.00,4022170.00,821.00,11.00
156,Standard Chartered Bank Limited,76,620.00,611.00,612.00,8066.00,4945033.00,615.00,-3.00
157,Sunrise Bank Limited,89,252.00,244.00,247.00,33763.00,8371856.00,252.00,-5.00
158,Support Microfinance Bittiya Sanstha Ltd.,105,1092.00,972.00,1092.00,4516.00,4534843.00,993.00,99.00
159,Surya Life Insurance Company Limited,316,470.00,458.00,465.00,54031.00,25026287.00,463.00,2.00
160,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,79,1020.00,980.00,998.00,7402.00,7304170.00,1000.00,-2.00
161,Swabalamban Laghubitta Bittiya Sanstha Limited,113,1163.00,1109.00,1130.00,17451.00,19652963.00,1141.00,-11.00
162,Swabhimaan Laghubitta Bittiya Sanstha Limited,31,1044.00,1004.00,1005.00,867.00,880766.00,1023.00,-18.00
163,Swadeshi Laghubitta Bittiya Sanstha Ltd.,43,880.00,841.00,841.00,3511.00,2971727.00,864.00,-23.00
164,Swarojgar Laghu Bitta Bikas Bank Ltd.,61,859.00,835.00,846.00,10964.00,9230359.00,855.00,-9.00
165,Synergy Power Development Ltd.,14,100.00,100.00,100.00,1178.00,117800.00,100.00,0.00
166,Taragaon Regency Hotel Limited,15,302.00,297.00,297.00,7590.00,2273590.00,301.00,-4.00
167,Tinau Mission Development Bank Limited,22,193.00,188.00,190.00,4664.00,884134.00,190.00,0.00
168,Union Hydropower Limited,16,58.00,56.00,57.00,1060.00,60820.00,57.00,0.00
169,United Finance Ltd.,6,183.00,180.00,182.00,3500.00,634250.00,182.00,0.00
170,United Insurance Co. (Nepal) Ltd.,94,439.00,421.00,425.00,16900.00,7213649.00,435.00,-10.00
171,United Modi Hydropower Ltd.,12,108.00,106.00,108.00,214.00,22976.00,108.00,0.00
172,UNIVERSAL POWER COMPANY LTD,25,78.00,75.00,76.00,1210.00,91790.00,79.00,-3.00
173,Upper Tamakoshi Hydropower Ltd,119,245.00,242.00,242.00,16286.00,3970775.00,246.00,-4.00
174,Vijaya laghubitta Bittiya Sanstha Ltd.,53,1035.00,1003.00,1035.00,5643.00,5765419.00,1022.00,13.00
175,Wean Nepal Laghubitta Bittiya Sanstha Limited,18,705.00,694.00,700.00,525.00,365575.00,700.00,0.00
