S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,10% Himalayan Bank Debenture 2083,1,1053.00,1053.00,1053.00,25.00,26325.00,1065.00,-12.00
2,10% Prabhu Bank Debenture 2084,3,1055.00,1050.00,1055.00,70.00,73725.00,1060.00,-5.00
3,10% Sanima Bank Limited Debenture,5,1060.00,1050.00,1050.00,375.00,396750.00,1040.00,10.00
4,10.25% Sunrise Bank Debenture 2083,2,1045.00,1040.00,1045.00,300.00,312500.00,1054.00,-9.00
5,10.50% SBL Debenture 2082,3,1060.00,1060.00,1060.00,100.00,106000.00,1048.00,12.00
6,11% NIC Asia Debenture 082/83,1,1111.00,1111.00,1111.00,100.00,111100.00,1123.00,-12.00
7,12% ICFC Finance Limited Debenture 2083,2,1165.00,1162.00,1165.00,75.00,87225.00,1185.00,-20.00
8,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,355,1701.00,1531.00,1575.00,10947.00,17274462.00,1620.00,-45.00
9,Agricultural Development Bank Limited,330,466.00,450.00,455.00,60468.00,27482918.00,459.00,-4.00
10,Ajod Insurance Limited,406,768.00,718.00,725.00,13042.00,9447749.00,732.00,-7.00
11,Ankhu Khola Jalvidhyut Company Ltd,150,155.00,150.00,150.00,15300.00,2326579.00,156.00,-6.00
12,Api Power Company Ltd.,1574,325.00,309.00,311.00,377271.00,117915219.00,315.00,-4.00
13,Arun Kabeli Power Ltd.,428,341.00,318.00,322.00,110762.00,35705442.00,325.00,-3.00
14,Arun Valley Hydropower Development Co. Ltd.,455,361.00,333.00,335.00,129644.00,43711931.00,344.00,-9.00
15,Asha Laghubitta Bittiya Sanstha Ltd,164,1480.00,1417.00,1453.00,4032.00,5815855.00,1467.00,-14.00
16,Asian Life Insurance Co. Limited,441,1401.00,1345.00,1360.00,72704.00,99160224.00,1397.00,-37.00
17,Bank of Kathmandu Ltd.,484,314.00,305.00,306.00,174742.00,53734035.00,314.00,-8.00
18,Barun Hydropower Co. Ltd.,96,239.00,233.00,235.00,14395.00,3392073.00,239.00,-4.00
19,Best Finance Co. Limited Promoter Share,4,101.00,100.00,100.00,35079.00,3513525.00,101.00,-1.00
20,Best Finance Company Ltd.,105,172.00,164.00,167.00,17647.00,2938920.00,169.00,-2.00
21,Bottlers Nepal (Terai) Limited,4,9078.00,8725.00,8725.00,80.00,709030.00,8900.00,-175.00
22,Butwal Power Company Limited,174,410.00,400.00,400.00,29632.00,11935360.00,404.00,-4.00
